,Date,Count,Offense
268,2019-10-21,10,Fraud
269,2019-10-21,17,Assault
270,2019-10-21,11,Drugs
271,2019-10-22,5,Drugs
272,2019-10-22,11,Vandalism
273,2019-10-22,19,Assault
274,2019-10-22,8,Fraud
275,2019-10-23,18,Assault
276,2019-10-23,13,Fraud
277,2019-10-23,10,Vandalism
278,2019-10-23,12,Drugs
279,2019-10-24,10,Vandalism
280,2019-10-24,14,Assault
281,2019-10-24,12,Drugs
282,2019-10-24,6,Fraud
283,2019-10-25,12,Vandalism
284,2019-10-25,12,Assault
285,2019-10-25,11,Fraud
286,2019-10-25,10,Drugs
287,2019-10-26,5,Fraud
288,2019-10-26,13,Vandalism
289,2019-10-26,20,Assault
290,2019-10-26,6,Drugs
291,2019-10-27,11,Vandalism
292,2019-10-27,2,Drugs
293,2019-10-27,9,Assault
294,2019-10-27,3,Fraud
295,2019-10-28,5,Vandalism
296,2019-10-28,15,Assault
297,2019-10-28,11,Fraud
298,2019-10-28,9,Drugs
299,2019-10-29,2,Vandalism
300,2019-10-29,7,Assault
301,2019-10-29,15,Drugs
302,2019-10-29,8,Fraud
303,2019-10-30,7,Fraud
304,2019-10-30,8,Drugs
305,2019-10-30,21,Assault
306,2019-10-30,5,Vandalism
307,2019-10-31,11,Fraud
308,2019-10-31,23,Assault
309,2019-10-31,4,Drugs
310,2019-10-31,8,Vandalism
311,2019-11-01,10,Fraud
312,2019-11-01,21,Assault
313,2019-11-01,16,Vandalism
314,2019-11-01,7,Drugs
315,2019-11-02,11,Assault
316,2019-11-02,8,Drugs
317,2019-11-02,16,Vandalism
318,2019-11-02,6,Fraud
319,2019-11-03,9,Vandalism
320,2019-11-03,3,Drugs
321,2019-11-03,3,Fraud
322,2019-11-03,11,Assault
323,2019-11-04,7,Drugs
324,2019-11-04,18,Assault
325,2019-11-04,6,Vandalism
326,2019-11-04,5,Fraud
327,2019-11-05,10,Assault
328,2019-11-05,12,Drugs
329,2019-11-05,11,Fraud
330,2019-11-05,9,Vandalism
331,2019-11-06,12,Drugs
332,2019-11-06,6,Vandalism
333,2019-11-06,9,Fraud
334,2019-11-06,19,Assault
335,2019-11-07,6,Drugs
336,2019-11-07,12,Vandalism
337,2019-11-07,10,Fraud
338,2019-11-07,9,Assault
339,2019-11-08,8,Vandalism
340,2019-11-08,7,Drugs
341,2019-11-08,6,Fraud
342,2019-11-08,17,Assault
343,2019-11-09,4,Fraud
344,2019-11-09,7,Drugs
345,2019-11-09,16,Assault
346,2019-11-09,3,Vandalism
347,2019-11-10,3,Fraud
348,2019-11-10,3,Drugs
349,2019-11-10,18,Assault
350,2019-11-10,8,Vandalism
351,2019-11-11,11,Drugs
352,2019-11-11,8,Vandalism
353,2019-11-11,5,Assault
354,2019-11-11,7,Fraud
355,2019-11-12,11,Fraud
356,2019-11-12,10,Drugs
357,2019-11-12,12,Assault
358,2019-11-12,7,Vandalism
359,2019-11-13,4,Vandalism
360,2019-11-13,11,Drugs
361,2019-11-13,11,Assault
362,2019-11-13,4,Fraud
363,2019-11-14,15,Assault
364,2019-11-14,7,Vandalism
365,2019-11-14,12,Fraud
366,2019-11-14,5,Drugs
367,2019-11-15,7,Drugs
368,2019-11-15,14,Assault
369,2019-11-15,8,Vandalism
370,2019-11-15,10,Fraud
371,2019-11-16,9,Fraud
372,2019-11-16,4,Drugs
373,2019-11-16,11,Vandalism
374,2019-11-16,21,Assault
375,2019-11-17,5,Fraud
376,2019-11-17,4,Drugs
377,2019-11-17,6,Vandalism
378,2019-11-17,10,Assault
379,2019-11-18,8,Vandalism
380,2019-11-18,9,Drugs
381,2019-11-18,5,Fraud
382,2019-11-18,15,Assault
383,2019-11-19,17,Assault
384,2019-11-19,5,Vandalism
385,2019-11-19,7,Drugs
386,2019-11-19,8,Fraud
387,2019-11-20,6,Drugs
388,2019-11-20,6,Fraud
389,2019-11-20,11,Assault
390,2019-11-20,6,Vandalism
391,2019-11-21,4,Vandalism
392,2019-11-21,9,Fraud
393,2019-11-21,10,Drugs
394,2019-11-21,13,Assault
395,2019-11-22,4,Fraud
396,2019-11-22,9,Vandalism
397,2019-11-22,19,Assault
398,2019-11-22,11,Drugs
399,2019-11-23,7,Vandalism
400,2019-11-23,3,Fraud
401,2019-11-23,3,Drugs
402,2019-11-23,18,Assault
403,2019-11-24,16,Vandalism
404,2019-11-24,10,Assault
405,2019-11-24,1,Drugs
406,2019-11-24,7,Fraud
407,2019-11-25,11,Fraud
408,2019-11-25,10,Assault
409,2019-11-25,7,Drugs
410,2019-11-25,12,Vandalism
411,2019-11-26,11,Drugs
412,2019-11-26,13,Fraud
413,2019-11-26,10,Vandalism
414,2019-11-26,16,Assault
415,2019-11-27,9,Vandalism
416,2019-11-27,5,Fraud
417,2019-11-27,5,Drugs
418,2019-11-27,12,Assault
419,2019-11-28,1,Fraud
420,2019-11-28,9,Assault
421,2019-11-28,5,Vandalism
422,2019-11-29,7,Vandalism
423,2019-11-29,10,Assault
424,2019-11-29,9,Fraud
425,2019-11-29,5,Drugs
426,2019-11-30,3,Fraud
427,2019-11-30,6,Drugs
428,2019-11-30,6,Vandalism
429,2019-11-30,13,Assault
430,2019-12-01,5,Fraud
431,2019-12-01,3,Vandalism
432,2019-12-01,15,Assault
433,2019-12-02,4,Fraud
434,2019-12-02,11,Assault
435,2019-12-02,9,Drugs
436,2019-12-02,5,Vandalism
437,2019-12-03,6,Fraud
438,2019-12-03,8,Assault
439,2019-12-03,4,Drugs
440,2019-12-03,5,Vandalism
441,2019-12-04,9,Fraud
442,2019-12-04,10,Assault
443,2019-12-04,4,Vandalism
444,2019-12-04,11,Drugs
445,2019-12-05,10,Fraud
446,2019-12-05,14,Assault
447,2019-12-05,3,Vandalism
448,2019-12-05,5,Drugs
449,2019-12-06,11,Assault
450,2019-12-06,8,Vandalism
451,2019-12-06,3,Drugs
452,2019-12-06,9,Fraud
453,2019-12-07,16,Assault
454,2019-12-07,7,Vandalism
455,2019-12-07,5,Drugs
456,2019-12-07,3,Fraud
457,2019-12-08,6,Fraud
458,2019-12-08,2,Drugs
459,2019-12-08,7,Vandalism
460,2019-12-08,14,Assault
461,2019-12-09,7,Fraud
462,2019-12-09,5,Drugs
463,2019-12-09,5,Vandalism
464,2019-12-09,21,Assault
465,2019-12-10,5,Drugs
466,2019-12-10,11,Vandalism
467,2019-12-10,9,Fraud
468,2019-12-10,18,Assault
469,2019-12-11,13,Assault
470,2019-12-11,2,Drugs
471,2019-12-11,3,Fraud
472,2019-12-11,8,Vandalism
473,2019-12-12,4,Drugs
474,2019-12-12,9,Assault
475,2019-12-12,6,Fraud
476,2019-12-12,2,Vandalism
477,2019-12-13,9,Fraud
478,2019-12-13,4,Vandalism
479,2019-12-13,14,Assault
480,2019-12-13,3,Drugs
481,2019-12-14,5,Fraud
482,2019-12-14,8,Vandalism
483,2019-12-14,5,Drugs
484,2019-12-14,15,Assault
485,2019-12-15,2,Drugs
486,2019-12-15,5,Fraud
487,2019-12-15,18,Assault
488,2019-12-15,14,Vandalism
489,2019-12-16,13,Drugs
490,2019-12-16,4,Fraud
491,2019-12-16,9,Assault
492,2019-12-16,7,Vandalism
493,2019-12-17,6,Vandalism
494,2019-12-17,3,Drugs
495,2019-12-17,8,Fraud
496,2019-12-17,18,Assault
497,2019-12-18,10,Drugs
498,2019-12-18,7,Vandalism
499,2019-12-18,12,Fraud
500,2019-12-18,10,Assault
501,2019-12-19,2,Drugs
502,2019-12-19,18,Assault
503,2019-12-19,8,Fraud
504,2019-12-19,11,Vandalism
505,2019-12-20,7,Drugs
506,2019-12-20,11,Fraud
507,2019-12-20,18,Assault
508,2019-12-20,9,Vandalism
509,2019-12-21,3,Drugs
510,2019-12-21,7,Fraud
511,2019-12-21,11,Assault
512,2019-12-21,2,Vandalism
513,2019-12-22,3,Drugs
514,2019-12-22,5,Fraud
515,2019-12-22,4,Vandalism
516,2019-12-22,18,Assault
517,2019-12-23,16,Assault
518,2019-12-23,1,Drugs
519,2019-12-23,9,Fraud
520,2019-12-23,1,Vandalism
521,2019-12-24,1,Drugs
522,2019-12-24,8,Vandalism
523,2019-12-24,6,Fraud
524,2019-12-24,11,Assault
525,2019-12-25,1,Fraud
526,2019-12-25,6,Vandalism
527,2019-12-25,12,Assault
528,2019-12-26,5,Fraud
529,2019-12-26,2,Drugs
530,2019-12-26,4,Vandalism
531,2019-12-26,8,Assault
532,2019-12-27,10,Vandalism
533,2019-12-27,18,Assault
534,2019-12-27,4,Drugs
535,2019-12-27,8,Fraud
536,2019-12-28,16,Vandalism
537,2019-12-28,2,Drugs
538,2019-12-28,4,Fraud
539,2019-12-28,9,Assault
540,2019-12-29,5,Drugs
541,2019-12-29,8,Vandalism
542,2019-12-29,1,Fraud
543,2019-12-29,15,Assault
544,2019-12-30,5,Vandalism
545,2019-12-30,5,Assault
546,2019-12-30,7,Fraud
547,2019-12-30,2,Drugs
548,2019-12-31,6,Fraud
549,2019-12-31,11,Assault
550,2019-12-31,3,Vandalism
551,2019-12-31,3,Drugs
552,2020-01-01,12,Assault
553,2020-01-01,3,Drugs
554,2020-01-01,13,Fraud
555,2020-01-01,10,Vandalism
556,2020-01-02,13,Assault
557,2020-01-02,8,Drugs
558,2020-01-02,8,Fraud
559,2020-01-02,10,Vandalism
560,2020-01-03,7,Drugs
561,2020-01-03,8,Fraud
562,2020-01-03,7,Assault
563,2020-01-03,5,Vandalism
564,2020-01-04,7,Fraud
565,2020-01-04,10,Vandalism
566,2020-01-04,4,Drugs
567,2020-01-04,8,Assault
568,2020-01-05,6,Vandalism
569,2020-01-05,11,Assault
570,2020-01-05,4,Drugs
571,2020-01-05,10,Fraud
572,2020-01-06,7,Assault
573,2020-01-06,4,Vandalism
574,2020-01-06,9,Fraud
575,2020-01-06,7,Drugs
576,2020-01-07,8,Vandalism
577,2020-01-07,6,Fraud
578,2020-01-07,5,Drugs
579,2020-01-07,15,Assault
580,2020-01-08,5,Vandalism
581,2020-01-08,8,Drugs
582,2020-01-08,5,Fraud
583,2020-01-08,15,Assault
584,2020-01-09,3,Vandalism
585,2020-01-09,4,Fraud
586,2020-01-09,7,Drugs
587,2020-01-09,10,Assault
588,2020-01-10,8,Fraud
589,2020-01-10,18,Assault
590,2020-01-10,9,Vandalism
591,2020-01-10,11,Drugs
592,2020-01-11,5,Drugs
593,2020-01-11,8,Vandalism
594,2020-01-11,6,Fraud
595,2020-01-11,17,Assault
596,2020-01-12,4,Fraud
597,2020-01-12,19,Assault
598,2020-01-12,12,Vandalism
599,2020-01-12,3,Drugs
600,2020-01-13,5,Drugs
601,2020-01-13,11,Assault
602,2020-01-13,10,Fraud
603,2020-01-13,9,Vandalism
604,2020-01-14,10,Drugs
605,2020-01-14,7,Fraud
